Date (Beijing Time),ETH/USDT Close Price
2020-02-29,229.41000000
2020-03-01,218.36000000
2020-03-02,218.92000000
2020-03-03,228.05000000
2020-03-04,225.11000000
2020-03-05,226.49000000
2020-03-06,227.83000000
2020-03-07,244.20000000
2020-03-08,234.09000000
2020-03-09,203.14000000
2020-03-10,203.38000000
2020-03-11,202.20000000
2020-03-12,193.31000000
2020-03-13,106.89000000
2020-03-14,133.05000000
2020-03-15,123.05000000
2020-03-16,121.60000000
2020-03-17,111.98000000
2020-03-18,116.77000000
2020-03-19,117.53000000
2020-03-20,137.95000000
2020-03-21,130.79000000
2020-03-22,132.20000000
2020-03-23,124.12000000
2020-03-24,134.84000000
2020-03-25,139.82000000
2020-03-26,137.00000000
2020-03-27,139.07000000
2020-03-28,130.22000000
2020-03-29,130.38000000
2020-03-30,125.66000000
2020-03-31,132.40000000
2020-04-01,132.02000000
2020-04-02,136.00000000
2020-04-03,140.91000000
2020-04-04,141.34000000
2020-04-05,144.54000000
2020-04-06,144.58000000
2020-04-07,171.28000000
2020-04-08,164.46000000
2020-04-09,172.87000000
2020-04-10,169.97000000
2020-04-11,159.47000000
2020-04-12,157.64000000
2020-04-13,153.43000000
2020-04-14,155.93000000
2020-04-15,156.93000000
2020-04-16,151.50000000
2020-04-17,171.45000000
2020-04-18,172.51000000
2020-04-19,186.35000000
2020-04-20,182.21000000
2020-04-21,172.51000000
2020-04-22,170.52000000
2020-04-23,182.24000000
2020-04-24,186.33000000
2020-04-25,186.69000000
2020-04-26,195.47000000
2020-04-27,197.89000000
2020-04-28,194.95000000
2020-04-29,196.61000000
2020-04-30,216.86000000
2020-05-01,208.90000000
2020-05-02,212.83000000
2020-05-03,217.29000000
2020-05-04,207.70000000
2020-05-05,208.50000000
2020-05-06,202.68000000
2020-05-07,202.80000000
2020-05-08,215.70000000
2020-05-09,212.86000000
2020-05-10,192.38000000
2020-05-11,189.93000000
2020-05-12,186.91000000
2020-05-13,190.99000000
2020-05-14,198.41000000
2020-05-15,202.71000000
2020-05-16,196.82000000
2020-05-17,201.91000000
2020-05-18,208.65000000
2020-05-19,212.09000000
2020-05-20,213.73000000
2020-05-21,211.49000000
2020-05-22,198.20000000
2020-05-23,209.11000000
2020-05-24,207.32000000
2020-05-25,202.89000000
2020-05-26,203.32000000
2020-05-27,201.75000000
2020-05-28,208.62000000
2020-05-29,221.80000000
2020-05-30,219.20000000
2020-05-31,245.03000000
2020-06-01,233.30000000
2020-06-02,246.75000000
2020-06-03,238.17000000
2020-06-04,243.81000000
2020-06-05,243.56000000
2020-06-06,241.09000000
2020-06-07,242.07000000
2020-06-08,244.16000000
2020-06-09,243.79000000
2020-06-10,243.85000000
2020-06-11,248.76000000
2020-06-12,231.58000000
2020-06-13,236.63000000
2020-06-14,237.70000000
2020-06-15,231.49000000
2020-06-16,229.48000000
2020-06-17,233.99000000
2020-06-18,233.51000000
2020-06-19,230.38000000
2020-06-20,228.91000000
2020-06-21,229.01000000
2020-06-22,228.61000000
2020-06-23,242.88000000
2020-06-24,243.40000000
2020-06-25,234.11000000
2020-06-26,233.00000000
2020-06-27,229.73000000
2020-06-28,219.80000000
2020-06-29,224.95000000
2020-06-30,227.62000000
2020-07-01,225.04000000
2020-07-02,230.61000000
2020-07-03,226.29000000
2020-07-04,225.25000000
2020-07-05,229.03000000
2020-07-06,226.98000000
2020-07-07,241.35000000
2020-07-08,238.46000000
2020-07-09,245.68000000
2020-07-10,240.61000000
2020-07-11,240.80000000
2020-07-12,239.96000000
